steensens	4
pokker	32
bryllupperne	34
deporterede	32
bakse	32
snoede	32
schlüter	4
forsikringsselskaberne	32
enten	106
tankemodel	32
debat.«	32
morgenkjolen	32
røver	100
betjente	32
slavinder	32
rækkemotor	32
røven	32
anbringelse	32
nådesløs	32
kulturmuren	32
sjælen	34
operakorene	32
statistik,«	32
placido	8
udbombede	32
neutral	32
nabokvartererne	32
bevæbnede	32
bankafdeling	32
hamada	4
befrielsen	96
album	32
mandats	32
monty	4
medløbere	32
ophøjes	32
monte	4
lokalredaktioner	32
inde-dm	32
monti	4
adrenalin	32
tgv-	8
venlige	32
ligesom	98
fælt	32
restmaling	32
hill	12
diplomat	32
anførte	96
fuldkommenhed	32
harker	12
repræsentative	32
fæle	32
forbrugeren	34
billedafdelingen	32
søfartsnationer	32
fnac-kort	4
driftsformen	32
konfirmationssøndag	32
uforløste	32
depression	32
erhvervspolitik	32
hop-musikkens	64
hvad	110
lime	32
bid	36
big	46
karambolage	32
læres	32
bio	4
bin	100
jacobs	12
skrankerne	32
tv-provinsafdelingen	4
vinbranchen	32
eu-tilskud	4
cabernet	4
storbyfænomener	32
ruinhøjene	64
kaffebar.«	8
udsalg	104
final	4
brincker	4
saatchi	14
algeriets	4
w.neustadt	4
sjæle«	32
supermarkederne	32
emnet	34
kassemedarbejder	32
erstatningsudbetalinger	32
moore	12
situationsrapport	32
lejelovsforliget	32
tåbelige	32
rettigheder«	32
pladeindspilninger	32
erkendelsesprocesser	32
slås.«	32
gadebillede	96
vores	98
tåbeligt	96
bølgelinierne	32
lejeindtægt	32
rådets	32
klipfisk	32
sunde	32
téte-korridoren	4
exit	4
forfatningsordenen«	32
ildsted«	32
efterskole	36
dramatisk	32
sygdommen,«	32
svinekød	96
arbejdsmarkedsråd	68
tristar	4
langtidsanalyse	32
udtalelserne	32
almindeligt	32
tryghed	32
violinisten	32
erland	12
forvanskede	32
advokaters	32
kynismen	32
quizzer	64
violinister	32
juppeàs	4
budgetforslag	32
offentlig/privat	32
forbindelser	96
orchestra	4
afskaffe	32
orchestre	32
selvrådende	32
charlatans	32
pizzabarer	32
guerillakrig	96
gadeskilt	64
you«	4
billedkvalitet	32
årsopgørelse	32
krudtet	34
gæstfriheden	4
retur	96
psykiateren	32
faldgrube	32
bølgedalen	32
koreaner	64
crossley	4
leninværftet	4
kilometervis	32
asylafdeling	32
sidemands	32
sygekassetidende	4
støvede	32
repo-baserede	32
gigantisk	106
indlæring	32
monokel	32
overenskomstfastsatte	32
your	4
bevægelighed	32
begrebsligt	32
moralbegreber	32
afhængighed	34
papirerne	32
dødsvirus	32
skoff	4
nutidigt,«	32
nymfen	64
erhvervslivet	96
courage«	4
landstræner	98
bankuddannelse	32
smøleriet	32
slagtilfælde	32
verdenshistorien	34
eksklusiv	32
nidkær	32
aftenposten	2
bocconi	4
sovjetepoken	32
renovering	32
letbenet	32
differentierede	32
forsikringsmæglerfirmaet	8
foredragene	32
marczuk	4
overanstrengelse	32
natsider	32
russia	4
dongs	12
vidtrækkende	96
hutuer	32
lagerarbejder	32
overstås	32
stemmens	32
lennart	4
samlebånd	32
koncentriske	32
imod«	64
overlevet	32
overlever	40
flandern	4
anderledes	98
spontanitet	32
hospitalschef	32
smuttet	32
døtrenes	32
årstider	32
paskontrollen	34
pensionsbeløbet	32
stregen	32
